"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YNL197C;YDL224C","WHI3","WHI3",6.13121118630678,7.0622717150065,29.6906245084843,30.232035533922,30.0725261196501,29.9806002677342,29.6906245084843,30.232035533922,30.0725261196501,29.9806002677342,4,NA,NA,NA,NA,23.7137375052095,23.8405789835786,24.2698713089663,23.626753886809,0
"YDR120C","TRM1","TRM1",5.71003215674478,6.43817924727968,29.2620597447967,29.8703395305199,29.8137224866112,29.6581443773069,29.2620597447967,29.8703395305199,29.8137224866112,29.6581443773069,4,NA,NA,NA,NA,24.2647035326428,23.8013253910252,24.1740585226266,23.5240500659611,0
"YPR057W","BRR1","BRR1",4.58003557969842,6.15909269244419,27.9644959034571,28.4779228818364,28.7047737263097,28.3167407265264,27.9644959034571,28.4779228818364,28.7047737263097,28.3167407265264,4,NA,NA,NA,NA,23.7968502514881,23.6959644635866,24.1342387732823,23.516737430979,0
"YAL036C","RBG1","RBG1",1.58617084156704,5.55405826017333,27.4957942895306,27.7737931822014,27.594343741262,27.4717353634647,27.4957942895306,27.7737931822014,27.594343741262,27.4717353634647,4,26.0195405072242,25.8329423442174,26.0532885630196,26.0852117957294,26.0195405072242,25.8329423442174,26.0532885630196,26.0852117957294,4
"YPL151C","PRP46","PRP46",3.4835070309028,5.45897823737852,26.9697193795936,27.3370504513014,27.3395160885922,27.2753316914738,26.9697193795936,27.3370504513014,27.3395160885922,27.2753316914738,4,NA,NA,NA,NA,23.7614505519557,24.0351709816095,23.8172634228892,23.3737045308953,0
"YLR432W","IMD3","IMD3",3.84959814360977,5.14775551003006,31.3761693830357,31.9737067147423,31.9551496779472,31.8617514861894,31.3761693830357,31.9737067147423,31.9551496779472,31.8617514861894,4,27.8891349852498,27.5736202622522,27.8301397270758,28.4754897128977,27.8891349852498,27.5736202622522,27.8301397270758,28.4754897128977,4
"YFL016C","MDJ1","MDJ1",3.93224394735663,4.84315451445269,28.3379861891478,27.7878695881506,27.4166733304051,27.3567425027028,28.3379861891478,27.7878695881506,27.4166733304051,27.3567425027028,4,NA,NA,NA,NA,24.3323392595676,23.856293055154,23.6148702256159,23.3667932806424,0
"YNL175C","NOP13","NOP13",1.45359831271766,4.36126257984364,27.1055954074935,27.3773283737776,27.2917572393869,27.3185519116908,27.1055954074935,27.3773283737776,27.2917572393869,27.3185519116908,4,25.7965718033458,25.9866340418893,25.5648544565831,25.93077937966,25.7965718033458,25.9866340418893,25.5648544565831,25.93077937966,4
"YKL214C","YRA2","YRA2",4.77875619329951,4.25225705826157,27.9890188415081,29.3446675542394,28.8376474206477,28.9863085362945,27.9890188415081,29.3446675542394,28.8376474206477,28.9863085362945,4,NA,NA,NA,24.0715291388696,23.7562334814058,24.4037536329617,23.8111013262545,24.0715291388696,1
"YJR144W","MGM101","MGM101",3.62622422252839,4.24805495300552,27.2460838404993,28.4269839268553,28.0927004523085,28.2615890851603,27.2460838404993,28.4269839268553,28.0927004523085,28.2615890851603,4,NA,24.6077795506793,24.594286784155,24.5071229426329,23.8132711372426,24.6077795506793,24.594286784155,24.5071229426329,3
"YPL127C","HHO1","HHO1",3.64219032124674,4.20216985614888,27.3720225131472,27.6558095465135,27.6865896481778,27.8740244273315,27.3720225131472,27.6558095465135,27.6865896481778,27.8740244273315,4,24.5677871481995,NA,NA,NA,24.5677871481995,23.858410842165,24.0496598501739,23.5438270096447,1
