"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YER165W","PAB1","PAB1",2.360678635458,5.19820350134764,29.6504610040955,29.3484505243086,29.1539046342849,29.2623958362682,29.6504610040955,29.3484505243086,29.1539046342849,29.2623958362682,4,27.1302591549931,27.2471710259621,26.8545988675879,26.7404684085819,27.1302591549931,27.2471710259621,26.8545988675879,26.7404684085819,4
"YGL173C","XRN1","XRN1",2.01755103542514,5.17265210504798,26.2770181718564,25.7988225945602,25.9552896612594,26.1012330606429,26.2770181718564,25.7988225945602,25.9552896612594,26.1012330606429,4,24.0925694068074,24.0153776178415,23.7700161618726,24.1841961600967,24.0925694068074,24.0153776178415,23.7700161618726,24.1841961600967,4
"YPR035W","GLN1","GLN1",2.53269711599968,5.16386585117499,22.912416464876,23.2238349782926,23.1754965567,23.530648274889,22.912416464876,23.2238349782926,23.1754965567,23.530648274889,4,NA,NA,NA,NA,20.7409961723352,20.5989327027586,20.9702290508057,20.4014498848594,0
"YHR121W","LSM12","LSM12",2.12318193162818,3.82131188831033,23.2568110527182,23.3077200115487,22.6441643497712,22.688847892815,23.2568110527182,23.3077200115487,22.6441643497712,22.688847892815,4,NA,NA,NA,NA,21.1254584258783,20.7588587094324,21.1327087361882,20.3877897088415,0
"YER151C","UBP3","UBP3",2.03868975841397,3.171857255581,23.195699607616,22.7009594883644,22.0645730575124,22.7116476506662,23.195699607616,22.7009594883644,22.0645730575124,22.7116476506662,4,NA,NA,NA,NA,20.5423442623257,20.9876046387016,20.9302586923167,20.0579131771591,0
"YPL127C","HHO1","HHO1",1.52215106857314,2.92757940045352,22.4780556225048,22.2498275570665,22.4430619099398,22.19607497514,22.4780556225048,22.2498275570665,22.4430619099398,22.19607497514,4,NA,20.9695832595109,NA,NA,20.3898684490087,20.9695832595109,21.1838493248853,20.7351147569536,1
"YBL032W","HEK2","HEK2",1.64806948479318,2.80622799580102,22.5813219687291,21.5846744583558,22.3320518503335,22.3526437195618,22.5813219687291,21.5846744583558,22.3320518503335,22.3526437195618,4,NA,20.2988277938128,NA,NA,20.5425065605224,20.2988277938128,21.1624211481911,20.2546585552812,1
"YMR229C","RRP5","RRP5",1.38402921628158,2.58139076773914,26.5747176652767,26.0780201446411,25.997205500904,25.8907591194333,26.5747176652767,26.0780201446411,25.997205500904,25.8907591194333,4,24.3523877900178,24.4088573270507,25.0824531406292,25.160887307431,24.3523877900178,24.4088573270507,25.0824531406292,25.160887307431,4
"YPL043W","NOP4","NOP4",1.24253810338719,2.42809167572603,22.2094045775093,22.0053888026158,NA,21.9713737484332,22.2094045775093,22.0053888026158,21.3057294418805,21.9713737484332,3,NA,NA,NA,NA,20.1168146089754,20.6704410448171,21.0032314465046,20.7312570565931,0
"YLR432W","IMD3","IMD3",2.47890516282271,2.34965862902675,26.8634879594242,26.9879353303487,26.5213620122905,26.7628124661794,26.8634879594242,26.9879353303487,26.5213620122905,26.7628124661794,4,24.7890022314872,25.0552761458362,23.7227575108275,23.652941228801,24.7890022314872,25.0552761458362,23.7227575108275,23.652941228801,4
"YDR174W","HMO1","HMO1",2.53460218032297,2.21672896571932,24.8485228482774,24.3308080356964,22.8740080056513,23.9217065786806,24.8485228482774,24.3308080356964,22.8740080056513,23.9217065786806,4,21.5450059253669,21.4165315985455,NA,21.7623512165554,21.5450059253669,21.4165315985455,21.112748006546,21.7623512165554,3
"YBR263W","SHM1","SHM1",1.2608915488012,2.21472538372299,NA,22.1940017269555,22.2264098407303,22.1200011455117,21.2545909436853,22.1940017269555,22.2264098407303,22.1200011455117,3,NA,NA,NA,NA,20.3414483666492,20.737721138771,21.191386787946,20.4808811683119,0
"YIL026C","IRR1","IRR1",1.29762333765037,2.13961497007969,21.9641631600349,21.9965548609177,21.8659718399103,21.835069661996,21.9641631600349,21.9965548609177,21.8659718399103,21.835069661996,4,NA,NA,NA,NA,20.4199260171489,20.9904484285341,20.9365410397023,20.1243506868723,0
"YMR080C","NAM7","NAM7",2.08018950810118,2.01523966451349,23.9173422114547,23.1208238430614,23.3606488628464,22.9672452596153,23.9173422114547,23.1208238430614,23.3606488628464,22.9672452596153,4,22.4833798631807,NA,NA,NA,22.4833798631807,20.5190550378647,21.0860735815428,20.9567936619849,1
"YFL038C","YPT1","YPT1",1.3554022519952,1.85713677355446,22.3380780288797,22.7110594386283,22.5861186779712,22.8169281728476,22.3380780288797,22.7110594386283,22.5861186779712,22.8169281728476,4,22.049728922445,NA,NA,NA,22.049728922445,20.7076664692259,21.3188962073857,20.9542837112894,1
"YPL218W","SAR1","SAR1",1.29474524622631,1.70019456957205,24.0975608790039,24.0004972881104,23.5519203761426,24.0939397556013,24.0975608790039,24.0004972881104,23.5519203761426,24.0939397556013,4,23.5372999351399,22.335626966379,22.0757128560958,22.6162975563383,23.5372999351399,22.335626966379,22.0757128560958,22.6162975563383,4
"YOR198C","BFR1","BFR1",1.86288581896967,1.52940281582828,24.9298543509444,24.9114110068919,25.0343526580857,25.019582923837,24.9298543509444,24.9114110068919,25.0343526580857,25.019582923837,4,23.6890185855555,24.0777349908153,21.9710228472686,22.705881240241,23.6890185855555,24.0777349908153,21.9710228472686,22.705881240241,4
