"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YLR432W","IMD3","IMD3",5.19836463897693,5.85591324224256,28.3207911856801,27.5948420200525,28.1567760062677,28.5089596299797,28.3207911856801,27.5948420200525,28.1567760062677,28.5089596299797,4,22.6053058841729,22.8400548646535,22.9907680773108,23.351781459935,22.6053058841729,22.8400548646535,22.9907680773108,23.351781459935,4
"YDR174W","HMO1","HMO1",4.29435004831143,5.04282758404791,25.6282023250873,25.1465870091114,25.7386400770196,25.4379039229046,25.6282023250873,25.1465870091114,25.7386400770196,25.4379039229046,4,NA,NA,21.7671288930936,NA,21.2008708322937,20.8722727616673,21.7671288930936,20.9336606538227,1
"YGL173C","XRN1","XRN1",3.22184577597228,5.00897500087041,30.1129693310635,29.9558771658271,30.6665321627997,30.2101341818896,30.1129693310635,29.9558771658271,30.6665321627997,30.2101341818896,4,27.1904643243996,27.1608680780351,26.8159222761722,26.8908750590838,27.1904643243996,27.1608680780351,26.8159222761722,26.8908750590838,4
"YML056C","IMD4","IMD4",4.47038190514923,4.82118774626588,25.7183740023031,25.0991272142661,25.4247034916297,25.8563098269712,25.7183740023031,25.0991272142661,25.4247034916297,25.8563098269712,4,NA,NA,NA,NA,21.2026759836274,20.8861259525095,20.9930380381374,21.1351469402988,0
"YCR077C","PAT1","PAT1",3.27734403563976,4.23721047300115,25.7194711287156,25.6473246906645,26.1993665155704,25.737118994535,25.7194711287156,25.6473246906645,26.1993665155704,25.737118994535,4,22.9270530882017,22.9106976209271,22.1091356084886,22.2470188693091,22.9270530882017,22.9106976209271,22.1091356084886,22.2470188693091,4
"YDR206W","EBS1","EBS1",2.949651939494,4.21126952524689,26.3709091237277,25.7986495813892,26.778312592569,26.5366776431571,26.3709091237277,25.7986495813892,26.778312592569,26.5366776431571,4,23.4324980633108,23.7592859921216,23.3976735885581,23.0964835388766,23.4324980633108,23.7592859921216,23.3976735885581,23.0964835388766,4
"YER165W","PAB1","PAB1",3.47425891831335,4.01880724793428,30.0986103108295,29.7289869238358,30.2428627782376,30.0450502976001,30.0986103108295,29.7289869238358,30.2428627782376,30.0450502976001,4,26.1253206036376,26.2755803493169,26.6885918158316,27.1289818684635,26.1253206036376,26.2755803493169,26.6885918158316,27.1289818684635,4
"YOR362C","PRE10","PRE10",1.66658397445654,3.87363077270906,22.8818690014393,22.4598148076293,22.6264487621234,23.0542247243903,22.8818690014393,22.4598148076293,22.6264487621234,23.0542247243903,4,NA,NA,NA,NA,21.4683787723073,21.1223735063793,20.9352018986177,20.8300672204519,0
"YER151C","UBP3","UBP3",1.59209799545621,3.35525125490618,24.4011941078254,24.0147819375732,24.7036125609987,24.6774512582264,24.4011941078254,24.0147819375732,24.7036125609987,24.6774512582264,4,23.2919328458676,22.6779888351007,22.9139324669702,22.5447937348602,23.2919328458676,22.6779888351007,22.9139324669702,22.5447937348602,4
"YMR229C","RRP5","RRP5",1.6157854814825,3.35084417442804,27.5781632789058,27.4453751067579,28.0957715706183,27.8361730874953,27.5781632789058,27.4453751067579,28.0957715706183,27.8361730874953,4,26.180274168917,26.1441573618604,26.2257849393715,25.9421246476984,26.180274168917,26.1441573618604,26.2257849393715,25.9421246476984,4
"YGR090W","UTP22","UTP22",2.51509130866449,3.30314916796379,25.4606086254193,25.0620876523515,25.6851463650123,26.015717896171,25.4606086254193,25.0620876523515,25.6851463650123,26.015717896171,4,23.0383021368064,23.0207785591536,23.2071865463024,22.8969280620338,23.0383021368064,23.0207785591536,23.2071865463024,22.8969280620338,4
"YLR363C","NMD4","NMD4",1.72619167231712,3.15909855220132,25.3773283737776,25.0309900249965,25.7196016834454,25.5444518067191,25.3773283737776,25.0309900249965,25.7196016834454,25.5444518067191,4,24.1642293261144,23.8627788441281,23.2335951030293,23.5070019263982,24.1642293261144,23.8627788441281,23.2335951030293,23.5070019263982,4
