"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YER165W","PAB1","PAB1",1.50844248970233,4.05917844736214,33.0493739810066,32.7796828779251,32.4963135007484,32.9228601043415,33.0493739810066,32.7796828779251,32.4963135007484,32.9228601043415,4,31.0671496101695,31.2847705426612,31.453365280736,31.4091750716456,31.0671496101695,31.2847705426612,31.453365280736,31.4091750716456,4
"YDR051C","DET1","DET1",1.69423737579818,2.96234623061837,25.6013607128687,25.2501023409717,25.9173194457786,25.3612849496396,25.6013607128687,25.2501023409717,25.9173194457786,25.3612849496396,4,NA,NA,NA,NA,24.2973877822619,23.7239653864993,23.2883810851178,24.0433836921869,0
"YBL032W","HEK2","HEK2",2.0706894988178,2.91103170208203,27.5415598645369,26.7644585834889,27.5296955292438,26.5233227756618,27.5415598645369,26.7644585834889,27.5296955292438,26.5233227756618,4,24.8531953172153,24.8744114556714,24.884973507357,25.4636984774164,24.8531953172153,24.8744114556714,24.884973507357,25.4636984774164,4
"YGR145W","ENP2","ENP2",1.13032898244573,2.78525440028621,25.1273885886649,25.2035917583852,25.1425418126338,NA,25.1273885886649,25.2035917583852,25.1425418126338,24.5987574227634,3,NA,NA,NA,NA,24.1776565257856,24.0390776531233,23.8624127514737,23.4718167222819,0
"YPR118W","MRI1","MRI1",1.61106095608205,2.72890741146823,25.2558391409057,25.6365511656613,26.142678133649,25.2536769898215,25.2558391409057,25.6365511656613,26.142678133649,25.2536769898215,4,NA,NA,NA,NA,24.5565471314329,23.7642250225382,23.9971723819212,23.5265570698171,0
"YLR432W;YAR075W","IMD3","IMD3",2.17086990165856,2.38330054280585,30.7920348278413,30.6548028702176,30.6098165739233,30.9833213078484,30.7920348278413,30.6548028702176,30.6098165739233,30.9833213078484,4,27.8584575337153,28.481045224132,29.3560078313775,28.6609853839715,27.8584575337153,28.481045224132,29.3560078313775,28.6609853839715,4
"YJL052W","TDH1","TDH1",1.34289352805942,2.25696336879067,29.1000150528647,29.9280420580574,29.1387537569681,28.8590206291893,29.1000150528647,29.9280420580574,29.1387537569681,28.8590206291893,4,27.3196719831456,28.2601088687496,28.2041517021302,27.8703248308165,27.3196719831456,28.2601088687496,28.2041517021302,27.8703248308165,4
"YAL016W","TPD3","TPD3",1.48832506733535,2.09435664072065,25.0017002500962,25.4975617008781,26.1875224339345,25.2755448293917,25.0017002500962,25.4975617008781,26.1875224339345,25.2755448293917,4,NA,NA,NA,NA,24.1178009766716,24.0631168780953,23.8539021120028,23.9742089781894,0
"YJR068W","RFC2","RFC2",1.79408228594518,2.08160803936462,26.3648618951392,25.623130649899,25.8711712896802,25.7231742940287,26.3648618951392,25.623130649899,25.8711712896802,25.7231742940287,4,NA,NA,NA,24.9783215329483,24.0180770629264,24.1373434660221,23.2722669230695,24.9783215329483,1
"YDR174W","HMO1","HMO1",1.74624718535839,2.01411002759099,27.9250731123422,27.7944538445776,28.3262456157722,28.0690208600962,27.9250731123422,27.7944538445776,28.3262456157722,28.0690208600962,4,25.2917572393869,26.6939173849683,26.4514092222433,26.6927208447561,25.2917572393869,26.6939173849683,26.4514092222433,26.6927208447561,4
