"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YOR091W","TMA46","TMA46",3.26234841084641,6.4668213424922,24.7854145515758,24.9334158391906,25.0676368815174,24.6602510011402,24.7854145515758,24.9334158391906,25.0676368815174,24.6602510011402,4,NA,NA,21.6908948740027,NA,21.6660517710571,21.734576390915,21.6908948740027,21.3058015940635,1
"YPL127C","HHO1","HHO1",3.87086657430822,5.02353103137214,25.4475837163278,25.6950863766311,25.3172411859383,25.5066085535148,25.4475837163278,25.6950863766311,25.3172411859383,25.5066085535148,4,NA,NA,NA,NA,21.9631472749845,21.7086171161248,21.5898080782049,21.221481065865,0
"YPL043W","NOP4","NOP4",2.91995426220782,4.88940738813099,26.8143338757973,26.2175440530742,26.8837856342975,26.8260225821471,26.8143338757973,26.2175440530742,26.8837856342975,26.8260225821471,4,24.0576328493947,23.5342154778295,23.7237992431574,23.7462215261033,24.0576328493947,23.5342154778295,23.7237992431574,23.7462215261033,4
"YGL173C","XRN1","XRN1",2.43763415611913,4.12874275829723,28.6303773980411,28.7748301315812,28.7550313489248,28.7043120111253,28.6303773980411,28.7748301315812,28.7550313489248,28.7043120111253,4,26.5317491032802,26.3421979941632,26.009473791044,26.2305933767085,26.5317491032802,26.3421979941632,26.009473791044,26.2305933767085,4
"YNL251C","NRD1","NRD1",1.20385791619734,3.91134736913966,26.3963675093082,26.5339779385122,26.7658499864682,26.6715516484039,26.3963675093082,26.5339779385122,26.7658499864682,26.6715516484039,4,25.4438902836839,25.6376293821323,25.1531750230563,25.3176207290305,25.4438902836839,25.6376293821323,25.1531750230563,25.3176207290305,4
"YNL308C","KRI1","KRI1",1.40103645903797,3.66607762568353,25.4821614590285,25.4427519379488,25.3645947664913,25.4166411198415,25.4821614590285,25.4427519379488,25.3645947664913,25.4166411198415,4,24.1249460798885,24.2057556707713,23.8386515114487,23.9326501850496,24.1249460798885,24.2057556707713,23.8386515114487,23.9326501850496,4
"YER165W","PAB1","PAB1",3.42304834194946,3.40723400932934,30.8325108300934,30.9096354629386,30.8956927999751,30.9045483553905,30.8325108300934,30.9096354629386,30.8956927999751,30.9045483553905,4,27.2971036443084,27.0535164458373,27.9879353303487,27.5116386601053,27.2971036443084,27.0535164458373,27.9879353303487,27.5116386601053,4
"YER151C","UBP3","UBP3",1.34616577772167,3.34123462192775,26.934271089704,26.8725574686701,26.8378579167302,26.8706775823666,26.934271089704,26.8725574686701,26.8378579167302,26.8706775823666,4,25.5976434119449,25.6936249889904,25.2673876489288,25.5720448967202,25.5976434119449,25.6936249889904,25.2673876489288,25.5720448967202,4
"YAL036C","RBG1","RBG1",3.51051796555387,3.29543541822731,26.0090679486218,25.6818266844838,26.0444980139849,25.9568631922182,26.0090679486218,25.6818266844838,26.0444980139849,25.9568631922182,4,NA,NA,22.6856864288762,23.0538768415354,21.954566111026,21.9560545956555,22.6856864288762,23.0538768415354,2
"YDR174W","HMO1","HMO1",3.70565371771633,3.25920486467447,26.3639768419863,26.3546928855359,26.1219661398216,26.3942916769882,26.3639768419863,26.3546928855359,26.1219661398216,26.3942916769882,4,22.582103381639,23.3575648906753,22.4012461991414,22.0713982020111,22.582103381639,23.3575648906753,22.4012461991414,22.0713982020111,4
"YPL190C","NAB3","NAB3",1.2727304054721,3.20859794070593,26.3778247992137,26.1989358184073,26.7753012259355,26.7649647034874,26.3778247992137,26.1989358184073,26.7753012259355,26.7649647034874,4,24.9882821424639,25.3643609883437,25.3969227374704,25.2765390568774,24.9882821424639,25.3643609883437,25.3969227374704,25.2765390568774,4
"YHL034C","SBP1","SBP1",3.33435378025369,3.19168854414414,24.5714374157175,24.9711456723848,24.6252785349069,25.0100503181643,24.5714374157175,24.9711456723848,24.6252785349069,25.0100503181643,4,NA,NA,NA,NA,21.9851876800479,21.8786059160103,21.3197312877947,20.6569719363058,0
"YNR051C","BRE5","BRE5",1.66674802824838,3.15714858398823,26.2572428034444,26.5111409632271,26.4021542392422,26.6396178210264,26.2572428034444,26.5111409632271,26.4021542392422,26.6396178210264,4,24.4232934203948,25.2529916325615,24.7098297211141,24.7570489398761,24.4232934203948,25.2529916325615,24.7098297211141,24.7570489398761,4
