"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YCR077C","PAT1","PAT1",8.62040994693071,6.60546586846859,30.02591021896,29.0419474740933,29.8278555571455,29.2771512311178,30.02591021896,29.0419474740933,29.8278555571455,29.2771512311178,4,NA,NA,NA,21.30897000011,21.1009332685967,20.6856937356346,20.5956276892525,21.30897000011,1
"YJL124C","LSM1","LSM1",5.38489884618321,4.89154422238691,26.3490835722093,25.8155070172325,26.0514019687198,25.8634406959132,26.3490835722093,25.8155070172325,26.0514019687198,25.8634406959132,4,NA,NA,NA,NA,21.151574491799,20.5901441505855,20.7689139661152,20.0292052608423,0
"YER112W","LSM4","LSM4",7.16093504457292,4.75868141383162,28.3541800259421,27.7248142084579,27.5257438568505,26.8686775155268,28.3541800259421,27.7248142084579,27.5257438568505,26.8686775155268,4,NA,NA,NA,NA,21.2125457150855,20.5457475428546,20.7959264393185,19.275455731227,0
"YNL147W","LSM7","LSM7",6.71392909070437,4.31962759661913,28.5324478421522,27.0019578972156,26.9791287693499,26.2674233702545,28.5324478421522,27.0019578972156,26.9791287693499,26.2674233702545,4,NA,NA,NA,NA,21.1600975032772,20.6176577598719,20.9053750358182,19.2421112171873,0
"YOL149W","DCP1","DCP1",6.22816721939344,4.11870171225851,27.7441951425997,27.4161900964228,27.3743462286257,26.2005268852578,27.7441951425997,27.4161900964228,27.3743462286257,26.2005268852578,4,NA,22.0139986692701,NA,NA,21.1475891052224,22.0139986692701,20.9498935185719,19.7111081822678,1
"YBL026W","LSM2","LSM2",5.13412051679747,4.08569173160473,26.9528261898847,25.3946024246417,25.6921355081647,25.682228665105,26.9528261898847,25.3946024246417,25.6921355081647,25.682228665105,4,NA,NA,NA,NA,21.0089687993415,20.6014668176685,21.2011019758329,20.3737731277633,0
"YML091C","RPM2","RPM2",3.97060821594683,4.0440731730675,24.8708421702443,24.0383356317693,24.8223070790919,24.2424176155488,24.8708421702443,24.0383356317693,24.8223070790919,24.2424176155488,4,NA,NA,NA,NA,21.0829516617605,20.5412301749829,20.8061867013833,19.6611010947403,0
"YKL010C","UFD4","UFD4",1.9076279723412,3.94117768272293,23.1053036620824,22.4356550022074,22.693959910356,22.4193121523439,23.1053036620824,22.4356550022074,22.693959910356,22.4193121523439,4,NA,NA,NA,NA,20.9562038858875,20.6222350136307,20.9938949119134,20.4513850261933,0
"YLR363C","NMD4","NMD4",4.56602425923385,3.74109591759653,25.017078207466,24.1391491155111,25.0164407212461,24.8338351384072,25.017078207466,24.1391491155111,25.0164407212461,24.8338351384072,4,NA,NA,NA,NA,20.9362701304816,19.7599374965703,20.688447963335,19.3577505553082,0
"YDL160C-TAP;YDL160C","DHH1-TAP","DHH1-TAP",9.11536521566145,3.64940197346403,33.4783424781325,32.2487550376162,33.7222225168781,33.3369759915434,33.4783424781325,32.2487550376162,33.7222225168781,33.3369759915434,4,26.0902287446707,23.9755254421144,23.3915247089783,22.867556265761,26.0902287446707,23.9755254421144,23.3915247089783,22.867556265761,4
